verb_id,lex,scroll,book,chapter,verse_num,gcons_verb,gcons_verse,gcons_clause,subject,complement,cmpl_lex,dir_he,cmpl_constr,cmpl_nt,cmpl_anim,cmpl_det,cmpl_indiv,cmpl_complex,dir_he_dss,sign_info,stem,tense,preposition_1,preposition_2,preposition_3,preposition_4,preposition_5,preposition_6,preposition_7,cmpl_translation,motion_type,comments
2093198,JRD[,Mur88,Obadiah,1,3,JWRDNJ,ZDWN LBK HCJ>K CKNJ B XGWJ SL< MRWM CBTW >MR B LBW MJ JWRDNJ >RY,MJ JWRDNJ >RY,MJ,>RY,,0,,,,,,,0,0000 000 00000 0000 0 0000 000 0000 0000 000 0 000 00 000000 000,hif,impf,,,,,,,,,,
298214,JRD[,MT,Obadiah,1,3,JWRDNJ,ZDWN LBK HCJ>K CKNJ B XGWJ SL< MRWM CBTW >MR B LBW MJ JWRDNJ >RY,MJ JWRDNJ >RY,MJ,>RY,>RY/,0,vc,,,det,subs,simple,,,hif,impf,,,,,,,,,,
2045496,JRD[,4Q82,Obadiah,1,3,JWRDNJ,ZDWN LBK HCJ>K CKNJ B XGWJ SL< MRWM CBTW >MR B LBW MJ JWRDNJ >RY,MJ JWRDNJ >RY,MJ,>RY,,0,,,,,,,0,0000 000 00000 0000 0 0000 000 0000 0000 000 0 000 00 000000 000,hif,impf,,,,,,,,,,
2093213,JRD[,Mur88,Obadiah,1,4,>WRJDK,>M TGBJH K NCR W >M BJN KWKBJM FJM QNK M CM >WRJDK N>M JHWH,None,None,,,,,,,,,,0,00 00000 0 000 0 00 000 000000 000 000 0 00 000000 000 0000,hif,impf,,,,,,,,,,
298229,JRD[,MT,Obadiah,1,4,>WRJDK,>M TGBJH K NCR W >M BJN KWKBJM FJM QNK M CM >WRJDK N>M JHWH,M CM >WRJDK,,M CM,MN CM,0,prep,,,det,,simple,,,hif,impf,MN,,,,,,,,,
2045511,JRD[,4Q82,Obadiah,1,4,>WRJDK,>M TGBJH K NCR W >M BJN KWKBJM TFJM QNKH M CM >WRJDK N>M JHWH,None,None,,,,,,,,,,0,00 00000 0 000 0 00 000 000000 0000 0000 0 00 000000 000 0000,hif,impf,,,,,,,,,,
2093219,BW>[,Mur88,Obadiah,1,5,B>W,>M GNBJM B>W LK >M CWDDJ LJLH >JK NDMJTH H LW> JGNBW DJM >M BYRJM B>W LK H LW> JC>JRW <LLWT,None,None,,,,,,,,,,0,00 00000 000 00 00 00000 0000 000 000000 0 000 00000 000 00 00000 000 00 0 000 000000 00000,qal,perf,,,,,,,,,,
2093232,BW>[,Mur88,Obadiah,1,5,B>W,>M GNBJM B>W LK >M CWDDJ LJLH >JK NDMJTH H LW> JGNBW DJM >M BYRJM B>W LK H LW> JC>JRW <LLWT,None,None,,,,,,,,,,0,00 00000 000 00 00 00000 0000 000 000000 0 000 00000 000 00 00000 000 00 0 000 000000 00000,qal,perf,,,,,,,,,,
298234,BW>[,MT,Obadiah,1,5,B>W,>M GNBJM B>W LK >M CWDDJ LJLH >JK NDMJTH H LW> JGNBW DJM >M BYRJM B>W LK H LW> JC>JRW <LLWT,>M GNBJM B>W LK,GNBJM,LK,L,0,prep,,,det,,simple,,,qal,perf,L,,,,,,,,,
298247,BW>[,MT,Obadiah,1,5,B>W,>M GNBJM B>W LK >M CWDDJ LJLH >JK NDMJTH H LW> JGNBW DJM >M BYRJM B>W LK H LW> JC>JRW <LLWT,>M BYRJM B>W LK,BYRJM,LK,L,0,prep,,,det,,simple,,,qal,perf,L,,,,,,,,,
