verb_id,lex,scroll,book,chapter,verse_num,gcons_verb,gcons_verse,gcons_clause,subject,complement,dir_he,cmpl_constr,cmpl_nt,cmpl_anim,cmpl_det,cmpl_indiv,dir_he_dss,sign_info,stem,tense,preposition_1,preposition_2,preposition_3,preposition_4,preposition_5,preposition_6,preposition_7,cmpl_lex,motion_type
2010488,BW>[,Pam43113,PAM43113,f3|6,2,no_g_cons,,None,None,,,,,,,,0,01 0 000 01,qal,impf,,,,,,,,,
2010489,BW>[,Pam43113,PAM43113,f3|6,2,no_g_cons,,None,None,,,,,,,,0,01 0 000 01,,,,,,,,,,,
2010490,BW>[,Pam43113,PAM43113,f3|6,3,no_g_cons,,None,None,,,,,,,,0,01 01 01 00,,,,,,,,,,,
2010491,BW>[,Pam43113,PAM43113,f3|6,3,no_g_cons,,None,None,,,,,,,,0,01 01 01 00,,,,,,,,,,,
2010492,BW>[,Pam43113,PAM43113,f3|6,3,no_g_cons,,None,None,,,,,,,,0,01 01 01 00,,,,,,,,,,,
2010494,BW>[,Pam43113,PAM43113,f3|7,1,no_g_cons,,None,None,,,,,,,,0,01 01 000 01,,,,,,,,,,,
2010495,BW>[,Pam43113,PAM43113,f3|7,1,no_g_cons,,None,None,,,,,,,,0,01 01 000 01,,,,,,,,,,,
2010523,<LH[,Pam43113,PAM43113,f4|7,1,no_g_cons,,None,None,,,,,,,,0,01 0 00000 01 00,hifil,infc,,,,,,,,,
2010524,<LH[,Pam43113,PAM43113,f4|7,1,no_g_cons,,None,None,,,,,,,,0,01 0 00000 01 00,,,,,,,,,,,
2010526,<LH[,Pam43113,PAM43113,f4|8,1,no_g_cons,,None,None,,,,,,,,0,01 000 01,,,,,,,,,,,
2010646,HWH[,Pam43113,PAM43113,f7|3,1,no_g_cons,,None,None,,,,,,,,0,01 000 011 01,,,,,,,,,,,
2010647,HWH[,Pam43113,PAM43113,f7|3,1,no_g_cons,,None,None,,,,,,,,0,01 000 011 01,,,,,,,,,,,
2010648,HWH[,Pam43113,PAM43113,f7|3,1,no_g_cons,,None,None,,,,,,,,0,01 000 011 01,,,,,,,,,,,
2010649,HWH[,Pam43113,PAM43113,f7|3,2,no_g_cons,,None,None,,,,,,,,0,01 0 00 01,,,,,,,,,,,
